Heptano,
% T,Número de ondas
"2,955.00",74.220096
"2,954.00",75.557782
"2,953.00",77.092458
"2,952.00",78.679132
"2,951.00",80.188135
"2,950.00",81.526283
"2,949.00",82.635776
"2,948.00",83.484436
"2,947.00",84.057668
"2,946.00",84.356211
"2,945.00",84.395722
"2,944.00",84.200504
"2,943.00",83.792243
"2,942.00",83.186215
"2,941.00",82.399771
"2,940.00",81.460022
"2,939.00",80.398948
"2,938.00",79.244279
"2,937.00",78.019233
"2,936.00",76.746555
"2,935.00",75.446888
"2,934.00",74.134372
"2,933.00",72.818967
"2,932.00",71.512775
"2,931.00",70.231276
"2,930.00",68.990208
"2,929.00",67.806324
"2,928.00",66.704029
"2,927.00",65.720562
"2,926.00",64.903854
"2,925.00",64.303534
"2,924.00",63.961854
"2,923.00",63.909969
"2,922.00",64.16614
"2,921.00",64.729906
"2,920.00",65.575465
"2,919.00",66.655538
"2,918.00",67.916748
"2,917.00",69.310913
"2,916.00",70.791797
"2,915.00",72.306825
"2,914.00",73.801305
"2,913.00",75.233654
"2,912.00",76.582708
"2,911.00",77.837464
"2,910.00",78.986676
"2,909.00",80.024139
"2,908.00",80.958657
"2,907.00",81.808305
"2,906.00",82.585615
"2,905.00",83.29378
"2,904.00",83.93736
"2,903.00",84.5241
"2,902.00",85.065798
"2,901.00",85.569434
"2,900.00",86.042278
"2,899.00",86.494441
"2,898.00",86.932709
"2,897.00",87.361506
"2,896.00",87.785916
"2,895.00",88.209007
"2,894.00",88.624551
"2,893.00",89.018913
"2,892.00",89.381115
"2,891.00",89.706131
"2,890.00",89.988466
"2,889.00",90.21934
"2,888.00",90.391625
"2,887.00",90.500655
"2,886.00",90.536438
"2,885.00",90.47889
"2,884.00",90.303331
"2,883.00",89.988556
"2,882.00",89.520188
"2,881.00",88.890726
"2,880.00",88.099763
"2,879.00",87.158874
"2,878.00",86.109288
"2,877.00",85.047295
"2,876.00",84.126313
"2,875.00",83.508876
"2,874.00",83.289782
"2,873.00",83.446069
"2,872.00",83.850344
"2,871.00",84.330908
"2,870.00",84.729419
"2,869.00",84.930478
"2,868.00",84.867651
"2,867.00",84.522289
"2,866.00",83.919424
"2,865.00",83.118042
"2,864.00",82.198649
"2,863.00",81.25245
"2,862.00",80.373556
"2,861.00",79.644594
"2,860.00",79.112901
"2,859.00",78.775485
"2,858.00",78.593578
"2,857.00",78.531016
"2,856.00",78.586359
"2,855.00",78.797258
"2,854.00",79.222027
"2,853.00",79.912976
"2,852.00",80.891174
"2,851.00",82.130842
"2,850.00",83.562749
"2,849.00",85.094543
"2,848.00",86.632772
"2,847.00",88.096182
"2,846.00",89.424951
"2,845.00",90.59038
"2,844.00",91.594541
